a,b,m,n,injection_id,channel_mn,time,current,voltage,polarity
60,61,62,64,1,0,0.916,0.242,12.688,0
60,61,62,64,1,0,0.921,0.242,16.438,0
60,61,62,64,1,0,0.926,0.242,28.062,0
60,61,62,64,1,0,0.931,0.242,19.812,0
60,61,62,64,1,0,0.936,0.242,9.688,0
60,61,62,64,1,0,0.941,0.242,21.688,0
60,61,62,64,1,0,0.946,0.242,25.250,0
60,61,62,64,1,0,0.951,0.241,0.875,0
60,61,62,64,1,0,0.956,0.242,24.688,0
60,61,62,64,1,0,0.961,0.242,27.500,0
60,61,62,64,1,0,0.966,0.241,8.938,0
60,61,62,64,1,0,0.971,0.242,17.375,0
60,61,62,64,1,0,0.976,0.242,21.500,0
60,61,62,64,1,0,0.981,0.242,29.000,0
60,61,62,64,1,0,0.986,0.241,5.188,0
60,61,62,64,1,0,0.991,0.242,23.750,0
60,61,62,64,1,0,0.996,0.242,24.500,0
60,61,62,64,1,0,1.001,0.242,24.312,0
60,61,62,64,1,0,1.006,0.241,9.312,0
60,61,62,64,1,0,1.011,0.242,13.250,0
60,61,62,64,1,0,1.016,0.242,15.500,0
60,61,62,64,1,0,1.021,0.242,20.000,0
60,61,62,64,1,0,1.026,0.242,0.312,0
60,61,62,64,1,0,1.031,0.241,-0.812,0
60,61,62,64,1,0,1.037,0.242,5.000,0
60,61,62,64,1,0,1.041,0.242,-2.125,0
60,61,62,64,1,0,1.046,0.242,0.875,0
60,61,62,64,1,0,1.051,0.241,5.938,0
60,61,62,64,1,0,1.056,0.242,9.688,0
60,61,62,64,1,0,1.061,0.241,9.125,0
60,61,62,64,1,0,1.066,0.241,3.875,0
60,61,62,64,1,0,1.072,0.242,12.875,0
60,61,62,64,1,0,1.076,0.242,12.875,0
60,61,62,64,1,0,1.081,0.242,22.250,0
60,61,62,64,1,0,1.086,0.242,12.688,0
60,61,62,64,1,0,1.091,0.242,20.000,0
60,61,62,64,1,0,1.096,0.242,27.688,0
60,61,62,64,1,0,1.101,0.241,17.750,0
60,61,62,64,1,0,1.106,0.241,17.188,0
60,61,62,64,1,0,1.111,0.241,30.500,0
60,61,62,64,1,0,1.116,0.242,23.938,0
60,61,62,64,1,0,1.121,0.241,23.000,0
60,61,62,64,1,0,1.126,0.242,23.562,0
60,61,62,64,1,0,1.131,0.241,24.312,0
60,61,62,64,1,0,1.136,0.242,26.563,0
60,61,62,64,1,0,1.141,0.242,22.250,0
60,61,62,64,1,0,1.146,0.242,20.938,0
60,61,62,64,1,0,1.151,0.242,21.875,0
60,61,62,64,1,0,1.156,0.242,21.312,0
60,61,62,64,1,0,1.161,0.242,20.750,0
60,61,62,64,1,0,1.166,0.242,20.562,0
60,61,62,64,1,0,1.171,0.242,26.938,0
60,61,62,64,1,0,1.176,0.242,28.812,0
60,61,62,64,1,0,1.181,0.242,22.812,0
60,61,62,64,1,0,1.186,0.242,27.125,0
60,61,62,64,1,0,1.191,0.242,23.938,0
60,61,62,64,1,0,1.196,0.242,16.438,0
60,61,62,64,1,0,1.201,0.243,20.375,0
60,61,62,64,1,0,1.207,0.243,20.375,0
60,61,62,64,1,0,1.212,0.243,14.188,0
60,61,62,64,1,0,1.217,0.243,29.375,0
60,61,62,64,1,0,1.224,0.242,19.625,0
60,61,62,64,1,0,1.228,0.243,28.812,0
60,61,62,64,1,0,1.232,0.242,30.500,0
60,61,62,64,1,0,1.237,0.242,22.812,0
60,61,62,64,1,0,1.242,0.242,28.625,0
60,61,62,64,1,0,1.247,0.242,19.438,0
60,61,62,64,1,0,1.252,0.242,23.938,0
60,61,62,64,1,0,1.257,0.243,39.312,0
60,61,62,64,1,0,1.262,0.243,32.375,0
60,61,62,64,1,0,1.267,0.243,30.125,0
60,61,62,64,1,0,1.272,0.242,22.250,0
60,61,62,64,1,0,1.277,0.243,29.750,0
60,61,62,64,1,0,1.282,0.242,28.812,0
60,61,62,64,1,0,1.287,0.242,24.125,0
60,61,62,64,1,0,1.292,0.242,38.000,0
60,61,62,64,1,0,1.297,0.242,24.875,0
60,61,62,64,1,0,1.302,0.242,30.688,0
60,61,62,64,1,0,1.307,0.242,9.688,0
60,61,62,64,1,0,1.312,0.242,23.562,0
60,61,62,64,1,0,1.317,0.243,13.250,0
60,61,62,64,1,0,1.322,0.242,25.625,0
60,61,62,64,1,0,1.327,0.242,23.938,0
60,61,62,64,1,0,1.332,0.242,15.125,0
60,61,62,64,1,0,1.337,0.242,22.625,0
60,61,62,64,1,0,1.342,0.242,15.688,0
60,61,62,64,1,0,1.347,0.242,25.062,0
60,61,62,64,1,0,1.352,0.242,23.562,0
60,61,62,64,1,0,1.357,0.242,14.000,0
60,61,62,64,1,0,1.362,0.242,25.062,0
60,61,62,64,1,0,1.367,0.242,18.688,0
60,61,62,64,1,0,1.372,0.242,17.000,0
60,61,62,64,1,0,1.377,0.243,27.500,0
60,61,62,64,1,0,1.382,0.243,29.188,0
60,61,62,64,1,0,1.387,0.243,26.375,0
60,61,62,64,1,0,1.392,0.242,28.062,0
60,61,62,64,1,0,1.397,0.242,20.562,0
60,61,62,64,1,0,1.402,0.242,24.125,0
60,61,62,64,1,0,1.407,0.242,16.062,0
60,61,62,64,1,0,1.412,0.242,10.625,0
60,61,62,64,1,0,1.417,0.242,20.938,0
60,61,62,64,1,0,1.422,0.242,18.875,0
60,61,62,64,1,0,1.427,0.242,14.188,0
60,61,62,64,1,0,1.432,0.242,24.688,0
60,61,62,64,1,0,1.468,-1.028,-99.062,-1
60,61,62,64,1,0,1.472,-0.999,-98.875,-1
60,61,62,64,1,0,1.477,-1.021,-101.688,-1
60,61,62,64,1,0,1.482,-1.005,-103.562,-1
60,61,62,64,1,0,1.487,-1.047,-94.562,-1
60,61,62,64,1,0,1.492,-1.034,-95.125,-1
60,61,62,64,1,0,1.497,-1.030,-103.938,-1
60,61,62,64,1,0,1.502,-1.036,-86.500,-1
60,61,62,64,1,0,1.507,-1.062,-104.312,-1
60,61,62,64,1,0,1.512,-0.959,-102.250,-1
60,61,62,64,1,0,1.517,-0.950,-112.938,-1
60,61,62,64,1,0,1.522,-1.031,-109.562,-1
60,61,62,64,1,0,1.527,-1.072,-103.375,-1
60,61,62,64,1,0,1.532,-1.047,-85.938,-1
60,61,62,64,1,0,1.537,-1.028,-94.375,-1
60,61,62,64,1,0,1.542,-1.094,-97.562,-1
60,61,62,64,1,0,1.547,-1.005,-98.875,-1
60,61,62,64,1,0,1.552,-1.040,-91.000,-1
60,61,62,64,1,0,1.557,-0.967,-101.688,-1
60,61,62,64,1,0,1.562,-1.010,-107.125,-1
60,61,62,64,1,0,1.567,-1.089,-84.062,-1
60,61,62,64,1,0,1.572,-0.948,-113.125,-1
60,61,62,64,1,0,1.577,-0.965,-90.250,-1
60,61,62,64,1,0,1.582,-1.028,-98.312,-1
60,61,62,64,1,0,1.587,-0.994,-103.187,-1
60,61,62,64,1,0,1.592,-1.056,-91.938,-1
60,61,62,64,1,0,1.597,-1.006,-89.500,-1
60,61,62,64,1,0,1.602,-1.020,-97.375,-1
60,61,62,64,1,0,1.607,-0.971,-88.188,-1
60,61,62,64,1,0,1.612,-1.081,-97.562,-1
60,61,62,64,1,0,1.617,-1.000,-95.125,-1
60,61,62,64,1,0,1.622,-1.000,-102.437,-1
60,61,62,64,1,0,1.627,-1.010,-94.938,-1
60,61,62,64,1,0,1.632,-0.990,-99.812,-1
60,61,62,64,1,0,1.637,-1.094,-94.375,-1
60,61,62,64,1,0,1.642,-1.012,-107.875,-1
60,61,62,64,1,0,1.647,-1.038,-100.188,-1
60,61,62,64,1,0,1.652,-1.001,-89.875,-1
60,61,62,64,1,0,1.657,-1.018,-83.500,-1
60,61,62,64,1,0,1.662,-1.044,-102.062,-1
60,61,62,64,1,0,1.667,-1.075,-93.625,-1
60,61,62,64,1,0,1.672,-0.950,-101.688,-1
60,61,62,64,1,0,1.677,-1.010,-98.312,-1
