event,event_start,depth_cm,sensor_id,treatment,location,tag,peak_time,peak_vwc,tail_hours,n_samples,exp_A,exp_tau_h,exp_C,exp_r2,pow_A,pow_alpha,pow_C,pow_r2
62,1.7595441e+18,10,SMS13,control,ConH,middle,1.7595831e+18,0.406,93.08333333333334,1118,0.4013423356435193,3034.211178740673,0.000010860811961432507,0.45182021309351583,0.40829596428220954,0.009144688860814851,7.02318558174983e-10,0.43761489900266703
65,1.7603955e+18,10,SMS13,control,ConH,middle,1.7604585e+18,0.395,12.166666666666666,147,0.02061388532005273,20.60246613451026,0.37529505004094355,0.9830005030742259,0.395763162206652,0.007804473542673113,8.54808172155888e-11,0.8590457620818955
70,1.7607393e+18,10,SMS13,control,ConH,middle,1.7607849e+18,0.414,13.5,163,0.4152156268968749,564.9052274740355,1.5263136662828467e-20,0.9457188559496197,0.4153193079316223,0.007203034200021959,2.840407729557146e-9,0.6918871766706027
71,1.760841e+18,10,SMS13,control,ConH,middle,1.7608878e+18,0.414,13.166666666666666,159,0.03437174471834594,29.212661497167566,0.3804819715861922,0.9881622485176952,0.4149988009089662,0.009972449741129291,6.792661491349959e-10,0.852479347913399
73,1.7610255e+18,10,SMS13,control,ConH,middle,1.7610873e+18,0.425,167.91666666666666,2016,0.03800217669019893,88.9377389517414,0.38316652633849985,0.9039190400265344,0.4389567896995156,0.02238109742307462,2.8433536603565515e-11,0.863225957486361
74,1.7623863e+18,10,SMS13,control,ConH,middle,1.7624457e+18,0.394,20.416666666666668,246,0.007240868402296593,5.984237917620479,0.38759526449093623,0.8142528210944542,0.39396615091521,0.005291823072821627,8.817945494882188e-10,0.7522341468531746
75,1.7625267e+18,10,SMS13,control,ConH,middle,1.7626125e+18,0.4,167.91666666666666,2016,0.39640273924270175,3467.5041816945827,2.1337554034723876e-18,0.7016060036297939,0.4077162794930674,0.012655980955341296,3.1327942364629846e-16,0.5487618785101837
79,1.7634321e+18,10,SMS13,control,ConH,middle,1.7634894e+18,0.423,73.75,886,0.029944318286962566,20.427850561180236,0.3976996521188091,0.9258335141100682,0.4321088411594636,0.01896578732223964,3.916542402398454e-14,0.8486949092672716
84,1.7639622e+18,10,SMS13,control,ConH,middle,1.7639913e+18,0.421,107.83333333333334,1295,0.021636980993883826,41.901669596022856,0.3933471872469052,0.8081736344849175,0.4229057625221958,0.014331969658749014,2.7287199483021788e-19,0.825068485623585
86,1.7644239e+18,10,SMS13,control,ConH,middle,1.7644479e+18,0.42,55.25,664,0.42387083312479007,1127.274407267709,1.7240066538989774e-20,0.8349482312828468,0.4286378533579742,0.011726206350530453,4.377417302317961e-17,0.5005550239113383
89,1.7647875e+18,10,SMS13,control,ConH,middle,1.7647995e+18,0.422,20.333333333333336,245,0.016814638331589044,5.44573622866906,0.40850708633355415,0.8413843723850128,0.42277158035720325,0.011373795320885038,2.8139779369064464e-9,0.7607077687615891
91,1.7649243e+18,10,SMS13,control,ConH,middle,1.7649414e+18,0.411,167.91666666666666,2016,0.02650437900377487,125.97930823580764,0.3810765012217579,0.7959105367428108,0.41898564515840586,0.013838702301899184,8.585644068279149e-21,0.7412339517576478
92,1.7659152e+18,10,SMS13,control,ConH,middle,1.7659893e+18,0.387,167.91666666666666,2016,0.008459251943417543,106.10791506587077,0.3736937130320064,0.21483071407434462,0.3860649074575619,0.005150678884513419,7.302317955077109e-6,0.2114361871157433
93,1.769319e+18,10,SMS13,control,ConH,middle,1.7693775e+18,0.415,167.91666666666666,2016,0.027027096109139354,78.98132938848215,0.3825363333201701,0.7805963182262169,0.4217990641209147,0.0166829690745511,7.350543623073815e-14,0.737105253746517
0,1.7175024e+18,10,SMS01,swale,SwB,slope,1.7175258e+18,0.2958724,49.166666666666664,591,0.008794282210438695,15.812265373914084,0.2852620150327944,0.3519856396101474,0.2954293963436073,0.008749610035518548,4.915290896590621e-11,0.37511111058477675
3,1.7191647e+18,10,SMS01,swale,SwB,slope,1.7192511e+18,0.32058163,167.91666666666666,2016,9.294201131200684e-13,1086.53255654727,0.33257478158554815,-6.356914994398721e-12,8.317273385930265e-13,2.880134580098828e-6,0.3325747820401351,-4.440892098500626e-16
4,1.7202123e+18,10,SMS01,swale,SwB,slope,1.7202909e+18,0.4037473899999999,167.91666666666666,2016,7.96449533719884e-13,1589.4607440191567,0.39968800498459583,-1.4004353232621725e-12,0.003041037940578308,0.8769540237257674,0.39953805721657254,0.006809350039281292
9,1.7232363e+18,10,SMS01,swale,SwB,slope,1.7232432e+18,0.4921110100000001,25.0,301,0.033694545364099694,4.485397258886064,0.46489489667455197,0.9474007964528302,0.15394880675677394,0.06359223654500545,0.337508711260958,0.8772546367039228
10,1.7233407e+18,10,SMS01,swale,SwB,slope,1.7233464e+18,0.4731426999999999,167.91666666666666,2016,0.03184071890318428,78.3887232366106,0.4390217035427339,0.8752143209523511,0.48474802653426524,0.016871699582926884,9.5978646881542e-18,0.8018824883694619
11,1.7253117e+18,10,SMS01,swale,SwB,slope,1.7253843e+18,0.4399772500000001,51.75,622,2.5595322777366647e-9,9997.440639858858,0.4322240172782755,-1.1187140103174897e-10,0.007629309203029222,0.6682034080917603,0.43087194497322984,0.14365034355949646
12,1.7255781e+18,10,SMS01,swale,SwB,slope,1.7256435e+18,0.44951959,167.91666666666666,2016,0.44680801280171784,8669.610147519581,3.121880657785776e-10,0.32969817233369203,0.4522284513181455,0.005257639529075669,2.3129402659602795e-13,0.27393505615072966
15,1.7286273e+18,10,SMS01,swale,SwB,slope,1.7286666e+18,0.4382704900000001,13.5,163,0.021633017265595106,20.610708914466553,0.41700408349306084,0.9986626623368962,0.43871241679954454,0.007912272982249844,5.930449563126398e-11,0.8862059198757194
