14	15	18	20
14	15	19	20
14	16	17	18
14	16	17	19
14	16	17	20
14	16	18	19
14	16	18	20
14	16	19	20
14	17	18	19
14	17	18	20
14	17	19	20
14	18	19	20
15	16	17	18
15	16	17	19
15	16	17	20
15	16	18	19
15	16	18	20
15	16	19	20
15	17	18	19
15	17	18	20
15	17	19	20
15	18	19	20
16	17	18	19
16	17	18	20
16	17	19	20
16	18	19	20
17	18	19	20
21	22	23	24
21	22	23	25
21	22	23	26
21	22	23	27
21	22	23	28
21	22	23	29
21	22	23	30
21	22	24	25
21	22	24	26
21	22	24	27
21	22	24	28
21	22	24	29
21	22	24	30
21	22	25	26
21	22	25	27
21	22	25	28
21	22	25	29
21	22	25	30
21	22	26	27
21	22	26	28
21	22	26	29
21	22	26	30
21	22	27	28
21	22	27	29
21	22	27	30
21	22	28	29
21	22	28	30
21	22	29	30
21	23	24	25
21	23	24	26
21	23	24	27
21	23	24	28
21	23	24	29
21	23	24	30
21	23	25	26
21	23	25	27
21	23	25	28
21	23	25	29
21	23	25	30
21	23	26	27
21	23	26	28
21	23	26	29
21	23	26	30
21	23	27	28
21	23	27	29
21	23	27	30
21	23	28	29
21	23	28	30
21	23	29	30
21	24	25	26
21	24	25	27
21	24	25	28
21	24	25	29
21	24	25	30
21	24	26	27
21	24	26	28
21	24	26	29
21	24	26	30
21	24	27	28
21	24	27	29
21	24	27	30
21	24	28	29
21	24	28	30
21	24	29	30
21	25	26	27
21	25	26	28
21	25	26	29
21	25	26	30
21	25	27	28
21	25	27	29
21	25	27	30
21	25	28	29
21	25	28	30
21	25	29	30
21	26	27	28
21	26	27	29
21	26	27	30
21	26	28	29
21	26	28	30
21	26	29	30
21	27	28	29
21	27	28	30
21	27	29	30
21	28	29	30
22	23	24	25
22	23	24	26
22	23	24	27
22	23	24	28
22	23	24	29
22	23	24	30
22	23	25	26
22	23	25	27
22	23	25	28
22	23	25	29
22	23	25	30
22	23	26	27
22	23	26	28
22	23	26	29
22	23	26	30
22	23	27	28
22	23	27	29
22	23	27	30
22	23	28	29
22	23	28	30
22	23	29	30
22	24	25	26
22	24	25	27
22	24	25	28
22	24	25	29
22	24	25	30
22	24	26	27
22	24	26	28
22	24	26	29
22	24	26	30
22	24	27	28
22	24	27	29
22	24	27	30
22	24	28	29
22	24	28	30
22	24	29	30
22	25	26	27
22	25	26	28
22	25	26	29
22	25	26	30
22	25	27	28
22	25	27	29
22	25	27	30
22	25	28	29
22	25	28	30
22	25	29	30
22	26	27	28
22	26	27	29
22	26	27	30
22	26	28	29
22	26	28	30
22	26	29	30
22	27	28	29
22	27	28	30
22	27	29	30
22	28	29	30
23	24	25	26
23	24	25	27
23	24	25	28
23	24	25	29
23	24	25	30
23	24	26	27
23	24	26	28
23	24	26	29
23	24	26	30
23	24	27	28
23	24	27	29
23	24	27	30
23	24	28	29
23	24	28	30
23	24	29	30
23	25	26	27
23	25	26	28
23	25	26	29
23	25	26	30
23	25	27	28
23	25	27	29
23	25	27	30
23	25	28	29
23	25	28	30
23	25	29	30
23	26	27	28
23	26	27	29
23	26	27	30
23	26	28	29
23	26	28	30
23	26	29	30
23	27	28	29
23	27	28	30
23	27	29	30
23	28	29	30
24	25	26	27
24	25	26	28
24	25	26	29
24	25	26	30
24	25	27	28
24	25	27	29
